date,unix,symbol,open,high,low,close,Volume BTC,Volume USD
2018-05-15 06:00:00,1526364000.0,BTC/USD,8733.86,8796.68,8707.28,8740.99,4906603.14,559.93
2018-05-15 07:00:00,1526367600.0,BTC/USD,8740.99,8766.0,8721.11,8739.0,2390398.89,273.58
2018-05-15 08:00:00,1526371200.0,BTC/USD,8739.0,8750.27,8660.53,8728.49,7986062.84,917.79
2018-05-15 09:00:00,1526374800.0,BTC/USD,8728.49,8754.4,8701.35,8708.32,1593991.98,182.62
2018-05-15 10:00:00,1526378400.0,BTC/USD,8708.32,8865.0,8695.11,8795.9,11101273.74,1260.69
2018-05-15 11:00:00,1526382000.0,BTC/USD,8795.9,8821.19,8740.54,8760.0,2842987.3,324.11
2018-05-15 12:00:00,1526385600.0,BTC/USD,8760.0,8798.6,8741.52,8760.0,2842401.44,324.2
2018-05-15 13:00:00,1526389200.0,BTC/USD,8760.0,8771.02,8700.0,8759.23,6380081.87,730.67
2018-05-15 14:00:00,1526392800.0,BTC/USD,8759.23,8761.7,8467.42,8517.77,11484106.74,1341.75
2018-05-15 15:00:00,1526396400.0,BTC/USD,8517.77,8553.67,8477.89,8520.3,6747071.92,792.07
2018-05-15 16:00:00,1526400000.0,BTC/USD,8520.3,8589.1,8500.78,8535.23,3298228.22,385.69
2018-05-15 17:00:00,1526403600.0,BTC/USD,8535.23,8579.48,8500.0,8546.34,4058869.11,475.08
2018-05-15 18:00:00,1526407200.0,BTC/USD,8546.34,8555.51,8400.0,8526.65,7443239.63,877.26
2018-05-15 19:00:00,1526410800.0,BTC/USD,8526.65,8583.6,8451.05,8555.6,5703980.92,670.49
2018-05-15 20:00:00,1526414400.0,BTC/USD,8555.6,8569.92,8461.38,8512.1,5192991.59,610.97
2018-05-15 21:00:00,1526418000.0,BTC/USD,8512.1,8555.54,8481.24,8492.28,1440288.06,168.99
2018-05-15 22:00:00,1526421600.0,BTC/USD,8492.28,8557.51,8420.37,8460.0,2591379.77,305.92
2018-05-15 23:00:00,1526425200.0,BTC/USD,8460.0,8505.0,8450.0,8474.99,1152835.45,136.05
2018-05-16 00:00:00,1526428800.0,BTC/USD,8474.99,8505.33,8430.94,8455.92,1306049.94,154.26
2018-05-16 01:00:00,1526432400.0,BTC/USD,8455.92,8478.29,8275.02,8326.28,8931481.69,1070.93
2018-05-16 02:00:00,1526436000.0,BTC/USD,8326.28,8339.81,8100.01,8133.43,13978603.77,1710.2
2018-05-16 03:00:00,1526439600.0,BTC/USD,8133.43,8217.44,8122.56,8164.79,4028910.03,492.8
