Date,currency,open,high,low,close,volume,market_cap
2013-04-28,bitcoin,135.3,135.98,132.1,134.21,,1488566728.0
2013-04-29,bitcoin,134.44,147.49,134.0,144.54,,1603768865.0
2013-04-30,bitcoin,144.0,146.93,134.05,139.0,,1542813125.0
2013-05-01,bitcoin,139.0,139.89,107.72,116.99,,1298954594.0
2013-05-02,bitcoin,116.38,125.6,92.28,105.21,,1168517495.0
2013-05-03,bitcoin,106.25,108.13,79.1,97.75,,1085995169.0
2013-05-04,bitcoin,98.1,115.0,92.5,112.5,,1250316563.0
2013-05-05,bitcoin,112.9,118.8,107.14,115.91,,1288693176.0
2013-05-06,bitcoin,115.98,124.66,106.64,112.3,,1249023060.0
2013-05-07,bitcoin,112.25,113.44,97.7,111.5,,1240593600.0
2013-05-08,bitcoin,109.6,115.78,109.6,113.57,,1264049202.0
2013-05-09,bitcoin,113.2,113.46,109.26,112.67,,1254535382.0
2013-05-10,bitcoin,112.8,122.0,111.55,117.2,,1305479080.0
2013-05-11,bitcoin,117.7,118.68,113.01,115.24,,1284207489.0
2013-05-12,bitcoin,115.64,117.45,113.43,115.0,,1281982625.0
2013-05-13,bitcoin,114.82,118.7,114.5,117.98,,1315710011.0
2013-05-14,bitcoin,117.98,119.8,110.25,111.5,,1243874488.0
2013-05-15,bitcoin,111.4,115.81,103.5,114.22,,1274623813.0
2013-05-16,bitcoin,114.22,118.76,112.2,118.76,,1325726787.0
2013-05-17,bitcoin,118.21,125.3,116.57,123.01,,1373723882.0
2013-05-18,bitcoin,123.5,125.25,122.3,123.5,,1379574546.0
2013-05-19,bitcoin,123.21,124.5,119.57,121.99,,1363204703.0
2013-05-20,bitcoin,122.5,123.62,120.12,122.0,,1363709900.0
2013-05-21,bitcoin,122.02,123.0,121.21,122.88,,1374013440.0
2013-05-22,bitcoin,122.89,124.0,122.0,123.89,,1385778993.0
2013-05-23,bitcoin,123.8,126.93,123.1,126.7,,1417769833.0
2013-05-24,bitcoin,126.3,133.85,125.72,133.2,,1491070770.0
2013-05-25,bitcoin,133.1,133.22,128.9,131.98,,1477958233.0
2013-05-26,bitcoin,131.99,136.0,130.62,133.48,,1495293015.0
2013-05-27,bitcoin,133.5,135.46,124.7,129.74,,1454029510.0
2013-05-28,bitcoin,129.77,130.58,125.6,129.0,,1446189975.0
2013-05-29,bitcoin,129.0,132.59,127.66,132.3,,1483734578.0
2013-05-30,bitcoin,132.25,132.25,127.0,128.8,,1445053941.0
2013-05-31,bitcoin,128.8,129.9,126.4,129.0,,1447870200.0
2013-06-01,bitcoin,128.82,129.78,127.2,129.3,,1451916165.0
2013-06-02,bitcoin,129.3,129.4,115.05,122.29,,1373837500.0
2013-06-03,bitcoin,122.5,122.5,116.0,122.22,,1373708058.0
2013-06-04,bitcoin,120.74,123.84,119.1,121.42,,1365337545.0
2013-06-05,bitcoin,121.4,123.47,119.9,121.65,,1368486469.0
2013-06-06,bitcoin,121.9,123.1,117.25,118.0,,1327960200.0
2013-06-07,bitcoin,118.97,119.0,106.42,111.5,,1255258638.0
2013-06-08,bitcoin,111.0,111.42,107.3,108.3,,1219717920.0
2013-06-09,bitcoin,107.89,108.99,88.5,100.0,,1126642500.0
2013-06-10,bitcoin,100.44,110.1,95.0,106.35,,1198638945.0
2013-06-11,bitcoin,106.35,109.6,104.0,108.9,,1227874725.0
2013-06-12,bitcoin,109.0,111.79,106.73,108.15,,1219969853.0
2013-06-13,bitcoin,108.78,110.3,100.53,104.0,,1173637400.0
2013-06-14,bitcoin,103.95,104.7,98.0,99.98,,1128709292.0
2013-06-15,bitcoin,100.0,103.7,98.0,99.99,,1129245604.0
2013-06-16,bitcoin,99.8,101.6,98.95,99.51,,1124306272.0
2013-06-17,bitcoin,99.9,102.21,99.0,101.7,,1149418485.0
2013-06-18,bitcoin,101.95,111.11,101.03,107.4,,1214216070.0
2013-06-19,bitcoin,107.05,110.22,105.75,108.25,,1224193838.0
2013-06-20,bitcoin,108.25,114.3,107.5,110.15,,1246104920.0
2013-06-21,bitcoin,111.29,114.99,107.68,109.5,,1239214238.0
2013-06-22,bitcoin,109.5,109.96,107.51,108.3,,1226110328.0
2013-06-23,bitcoin,108.2,108.8,106.23,107.6,,1218626490.0
2013-06-24,bitcoin,107.9,108.33,100.98,102.74,,1163935726.0
2013-06-25,bitcoin,102.09,106.47,101.01,103.95,,1178086140.0
2013-06-26,bitcoin,103.33,105.49,102.79,104.0,,1179105200.0
2013-06-27,bitcoin,104.0,104.0,101.1,101.44,,1150468023.0
2013-06-28,bitcoin,101.74,101.74,92.33,94.65,,1073887457.0
2013-06-29,bitcoin,94.66,99.99,93.0,94.99,,1078198524.0
2013-06-30,bitcoin,95.0,98.12,94.22,96.61,,1096957771.0
2013-07-01,bitcoin,97.51,97.66,86.3,88.05,,1000065296.0
2013-07-02,bitcoin,88.05,92.3,87.51,90.13,,1024082228.0
2013-07-03,bitcoin,90.4,90.98,76.98,77.53,,881233116.0
2013-07-04,bitcoin,78.89,83.11,72.0,80.53,,915618609.0
2013-07-05,bitcoin,79.99,80.0,65.53,68.43,,778411179.0
2013-07-06,bitcoin,68.5,75.0,66.82,70.28,,799741619.0
2013-07-07,bitcoin,68.75,74.56,66.62,74.56,,848838979.0
2013-07-08,bitcoin,76.5,80.0,72.6,76.52,,871457940.0
2013-07-09,bitcoin,76.0,78.3,72.52,76.69,,873841849.0
2013-07-10,bitcoin,76.72,87.0,76.2,86.76,,988957719.0
2013-07-11,bitcoin,88.0,90.28,85.08,88.98,,1014650063.0
2013-07-12,bitcoin,88.98,104.0,88.17,93.59,,1067634684.0
2013-07-13,bitcoin,93.99,98.25,88.06,98.13,,1119796120.0
2013-07-14,bitcoin,98.7,98.7,92.86,94.69,,1080917760.0
2013-07-15,bitcoin,93.61,101.9,93.11,98.4,,1123658944.0
2013-07-16,bitcoin,98.89,99.86,96.14,97.45,,1113217032.0
2013-07-17,bitcoin,96.71,99.97,96.18,98.5,,1125658000.0
2013-07-18,bitcoin,98.5,98.8,86.2,90.58,,1035512825.0
2013-07-19,bitcoin,90.07,95.2,87.8,92.17,,1054083771.0
2013-07-20,bitcoin,92.0,93.1,89.27,89.39,,1022707665.0
2013-07-21,bitcoin,89.82,91.95,88.0,90.76,,1038798980.0
2013-07-22,bitcoin,92.0,92.0,90.08,91.61,,1048939081.0
2013-07-23,bitcoin,91.6,96.82,91.6,95.56,,1094484058.0
2013-07-24,bitcoin,95.56,95.99,93.0,94.51,,1082848325.0
2013-07-25,bitcoin,94.5,97.33,93.87,96.9,,1110587858.0
2013-07-26,bitcoin,96.95,97.47,96.0,96.02,,1100902800.0
2013-07-27,bitcoin,96.02,97.0,93.0,94.12,,1079491697.0
2013-07-28,bitcoin,94.4,100.58,94.0,99.76,,1144602838.0
2013-07-29,bitcoin,98.6,102.5,98.46,101.2,,1161619140.0
2013-07-30,bitcoin,101.49,107.99,100.47,107.99,,1240092366.0
2013-07-31,bitcoin,107.95,111.34,103.88,106.09,,1218777834.0
2013-08-01,bitcoin,106.21,108.0,103.01,104.0,,1195225200.0
2013-08-02,bitcoin,104.86,108.0,101.21,104.5,,1201487185.0
2013-08-03,bitcoin,104.5,105.78,102.0,104.0,,1196226508.0
2013-08-04,bitcoin,104.95,105.95,103.52,105.14,,1209797378.0
2013-08-05,bitcoin,105.12,107.77,105.0,106.22,,1222677176.0
2013-08-06,bitcoin,106.72,107.38,105.56,106.75,,1229098150.0
2013-08-07,bitcoin,106.75,106.75,106.75,106.75,,1229098150.0
2013-08-08,bitcoin,106.75,106.75,101.26,103.0,,1187105900.0
2013-08-09,bitcoin,103.07,105.75,101.93,102.8,,1185307130.0
2013-08-10,bitcoin,102.8,103.9,102.41,103.0,,1188153925.0
2013-08-11,bitcoin,103.0,105.19,102.75,105.0,,1211789250.0
2013-08-12,bitcoin,105.0,108.0,103.5,106.64,,1231248581.0
2013-08-13,bitcoin,106.99,109.35,104.65,109.0,,1259042650.0
2013-08-14,bitcoin,109.56,115.0,108.0,112.56,,1300656724.0
2013-08-15,bitcoin,112.56,113.25,109.0,109.99,,1271404657.0
2013-08-16,bitcoin,110.0,112.3,108.52,108.99,,1260352119.0
2013-08-17,bitcoin,108.99,113.75,108.22,113.5,,1312996375.0
2013-08-18,bitcoin,112.75,114.69,112.0,113.5,,1313544013.0
2013-08-19,bitcoin,113.38,123.06,111.77,119.0,,1377725475.0
2013-08-20,bitcoin,119.0,123.01,117.51,121.21,,1403829641.0
2013-08-21,bitcoin,121.21,124.91,119.68,123.3,,1428698678.0
2013-08-22,bitcoin,123.3,123.5,120.6,121.15,,1404437433.0
2013-08-23,bitcoin,122.0,122.0,118.44,118.5,,1374309422.0
2013-08-24,bitcoin,118.51,121.39,118.02,120.04,,1392768092.0
2013-08-25,bitcoin,119.6,122.99,119.17,122.11,,1417198897.0
2013-08-26,bitcoin,122.11,122.75,119.93,120.06,,1393847159.0
2013-08-27,bitcoin,120.07,127.24,120.07,126.5,,1469193138.0
2013-08-28,bitcoin,126.48,127.32,122.62,122.62,,1424675798.0
2013-08-29,bitcoin,122.62,123.7,122.21,122.39,,1422584866.0
